tourist_id,age,gender,nationality,city_visited,trip_duration_days,season,travel_company,total_spending_usd
T00043,8,Male,Australia,Aswan,5,Summer,Luxor and Aswan Travel,1473.53
T00044,6,Female,Norway,Alexandria,3,Winter,Dynasty Travel Egypt,505.71
T00045,7,Female,Canada,Luxor,5,Summer,Travel Experts Egypt,924.37
T00046,9,Male,USA,Hurghada,5,Spring,Royal Travel Egypt,1334.96
T00047,13,Male,Germany,Alexandria,8,Spring,Scandia Tours Egypt,948.25
T00048,6,Female,France,Luxor,7,Autumn,Embrace Egypt,782.1
T00049,7,Female,Spain,Luxor,3,Autumn,Journey Egypt,465.51
T00050,10,Male,Italy,Cairo,5,Winter,Premier Travel Egypt,593.66
T00051,10,Male,USA,Alexandria,7,Autumn,Travel Masters Egypt,731.37
T00052,5,Male,France,Sharm El Sheikh,10,Summer,Travel Line Egypt,2069.65
T00053,9,Male,UK,Luxor,7,Autumn,Royal Vacation Egypt,1289.07
T00054,11,Female,Canada,Luxor,6,Summer,King Tut Tours,1155.22
T00055,10,Female,Sweden,Cairo,4,Autumn,United Travel Egypt,710.04
T00056,11,Female,Netherlands,Aswan,2,Spring,Travco Travel,482.51
T00057,10,Male,USA,Cairo,3,Winter,Vacation Travel Egypt,519.47
T00058,6,Female,UK,Luxor,6,Autumn,Professional Travel Egypt,883.6
T00059,10,Male,USA,Cairo,9,Spring,Future Travel Egypt,1316.3
T00060,9,Male,Denmark,Aswan,9,Autumn,Classic Tours Egypt,2597.67
T00061,17,Female,Italy,Hurghada,10,Winter,Platinum Travel Egypt,2978.96
T00062,15,Female,France,Aswan,3,Winter,Egypt Tours Portal,631.64
T00063,18,Female,Norway,Aswan,9,Winter,World Travel Egypt,1900.63
T00064,17,Female,UK,Hurghada,9,Summer,Egypt Tours Portal,2045.89
T00065,17,Male,Netherlands,Aswan,3,Winter,International Travel Egypt,841.4
T00066,9,Female,USA,Sharm El Sheikh,7,Spring,Travco Travel,2391.58
T00067,14,Male,Australia,Luxor,9,Summer,Emo Tours Egypt,1656.56
T00068,15,Male,France,Alexandria,7,Spring,Grand Tours Egypt,668.7
T00069,7,Male,Spain,Alexandria,3,Summer,Wonder Travel Egypt,401.43
T00070,14,Female,France,Hurghada,9,Spring,Magic Carpet Travel,1566.69
T00071,9,Male,Australia,Aswan,8,Summer,Mirage Travel Egypt,1856.91
T00072,9,Male,Norway,Luxor,7,Winter,Sunrise Travel Egypt,873.9
T00073,12,Male,Italy,Hurghada,5,Autumn,Travel World Egypt,752.91
T00074,18,Female,USA,Aswan,6,Autumn,On The Go Tours Egypt,1099.97
T00075,14,Male,Netherlands,Sharm El Sheikh,2,Winter,Jasmine Travel Egypt,571.06
T00076,16,Female,Sweden,Luxor,10,Spring,Adventure Egypt Tours,2482.11
T00077,12,Male,France,Alexandria,8,Winter,Emerald Travel Egypt,1090.93
T00078,18,Female,UK,Hurghada,9,Summer,Embrace Egypt,2678.62
T00079,9,Male,Denmark,Sharm El Sheikh,9,Winter,Platinum Travel Egypt,2641.54
T00080,18,Male,Sweden,Hurghada,5,Winter,Nefertiti Travel,791.16
T00081,7,Female,Canada,Sharm El Sheikh,4,Winter,Emerald Travel Egypt,1360.53
T00082,14,Male,USA,Luxor,10,Spring,Cosmos Travel Egypt,2043.38
T00083,16,Female,Germany,Hurghada,5,Winter,Adventure Egypt Tours,1181.21
T00084,6,Female,Canada,Luxor,3,Summer,Travel Masters Egypt,683.74
T00085,17,Female,Norway,Alexandria,2,Spring,Elite Egypt Tours,269.17
T00086,6,Female,USA,Hurghada,3,Spring,Insight Vacations Egypt,735.12
T00087,7,Female,Norway,Hurghada,8,Spring,Star Travel Egypt,1258.1
T00088,14,Male,Germany,Alexandria,7,Summer,Lady Egypt Tours,881.53
T00089,6,Male,Sweden,Hurghada,8,Winter,Legend Travel Egypt,1230.81
T00090,18,Female,Spain,Luxor,8,Summer,Lotus Tours Egypt,1092.99
T00091,17,Male,Spain,Aswan,3,Spring,Smart Travel Egypt,753.93
T00092,15,Male,Spain,Aswan,4,Winter,United Travel Egypt,954.46
T00093,9,Female,Canada,Aswan,10,Winter,MISR Travel,2327.87
T00094,9,Male,Denmark,Cairo,7,Spring,Paradise Travel Egypt,680.07
T00095,14,Male,Germany,Hurghada,3,Winter,Heliopolis Travel,699.08
T00096,18,Male,UK,Hurghada,10,Autumn,Elite Egypt Tours,3031.49
T00097,6,Female,USA,Cairo,5,Winter,Majestic Travel Egypt,881.73
T00098,18,Male,USA,Cairo,9,Summer,Regency Travel Egypt,1741.95
T00099,18,Female,Germany,Cairo,2,Summer,Platinum Travel Egypt,338.75
T00100,12,Female,France,Luxor,5,Spring,Globe Travel Egypt,1073.14
T00101,7,Female,Norway,Hurghada,10,Autumn,Modern Travel Egypt,3188.65
T00102,10,Female,Norway,Hurghada,5,Autumn,Cosmos Travel Egypt,843.37
T00103,17,Male,Netherlands,Aswan,5,Autumn,Travel World Egypt,1224.72
T00104,13,Female,USA,Hurghada,5,Spring,Heliopolis Travel,992.17
T00105,18,Female,Sweden,Luxor,7,Spring,Travel World Egypt,1599.5
T00106,15,Male,Sweden,Aswan,9,Autumn,Travel Point Egypt,2450.95
T00107,13,Male,Canada,Aswan,4,Spring,Egypt Direct Tours,1089.44
T00108,16,Male,UK,Hurghada,3,Summer,Explore Egypt Tours,609.84
T00109,15,Male,Denmark,Hurghada,5,Autumn,Modern Travel Egypt,1326.98
T00110,18,Male,Denmark,Hurghada,10,Autumn,Platinum Travel Egypt,1720.07
T00111,14,Male,France,Cairo,7,Spring,Plan Egypt Tours,1175.41
T00112,17,Male,USA,Aswan,2,Autumn,Vacation Travel Egypt,276.48
T00113,10,Female,Italy,Sharm El Sheikh,8,Autumn,Isis Travel,1212.17
T00114,11,Male,Netherlands,Hurghada,10,Summer,Pioneer Travel Egypt,2638.97
T00115,11,Male,Norway,Hurghada,4,Autumn,Premier Travel Egypt,613.92
T00116,5,Female,Australia,Alexandria,3,Summer,Prestige Travel Egypt,359.85
T00117,15,Male,USA,Hurghada,10,Summer,Sky Travel Egypt,1636.58
T00118,16,Male,Spain,Cairo,9,Winter,Imperial Egypt,1621.41
T00119,5,Female,Sweden,Alexandria,6,Spring,Express Travel Egypt,594.01
T00120,18,Female,Spain,Sharm El Sheikh,3,Spring,Elite Egypt Tours,831.62
T00121,5,Female,Norway,Luxor,5,Autumn,Pyramids Land Tours,853.14
T00122,8,Male,USA,Cairo,9,Spring,Diamond Travel Egypt,791.56
T00123,12,Female,Germany,Cairo,9,Spring,Vision Travel Egypt,834.65
T00124,5,Female,France,Cairo,3,Winter,Safari Travel Egypt,274.41
T00125,5,Male,Denmark,Luxor,7,Winter,Heliopolis Travel,1050.92
T00126,9,Female,Germany,Cairo,8,Spring,Jasmine Travel Egypt,1132.39
T00127,8,Male,USA,Aswan,9,Winter,Prime Travel Egypt,2057.03
T00128,13,Male,Norway,Sharm El Sheikh,2,Autumn,Infinity Travel Egypt,574.0
T00129,5,Male,Spain,Luxor,7,Summer,Travel Experts Egypt,1156.12
T00130,14,Female,Denmark,Hurghada,8,Winter,Elite Egypt Tours,1585.36
T00131,17,Male,Norway,Alexandria,4,Autumn,Luxor and Aswan Travel,498.49
T00132,15,Female,Canada,Hurghada,7,Autumn,Silver Travel Egypt,1742.97
T00133,15,Male,Netherlands,Hurghada,2,Autumn,Emo Tours Egypt,291.43
T00134,14,Female,Sweden,Aswan,2,Autumn,Universal Travel Egypt,388.56
T00135,6,Female,Sweden,Cairo,2,Summer,Globe Travel Egypt,381.58
T00136,14,Female,UK,Aswan,2,Summer,Prestige Travel Egypt,468.35
T00137,6,Female,Germany,Alexandria,4,Autumn,Egypt Time Travel,669.1
T00138,15,Male,France,Cairo,5,Summer,Explore Egypt Tours,674.55
T00139,10,Female,Norway,Cairo,4,Spring,Nile Blue Tours,644.53
T00140,13,Female,Australia,Cairo,7,Winter,Pyramids Land Tours,939.53
T00141,9,Female,UK,Cairo,10,Winter,Vision Travel Egypt,1801.65
T00142,17,Male,Sweden,Alexandria,3,Summer,Diamond Travel Egypt,521.69
T00143,17,Male,UK,Luxor,8,Autumn,Queen Egypt Tours,1247.55
T00144,17,Female,Denmark,Alexandria,4,Summer,Egypt Holiday Makers,642.82
T00145,6,Female,Germany,Luxor,2,Spring,MISR Travel,488.47
T00146,17,Male,Italy,Sharm El Sheikh,5,Winter,Travel Point Egypt,1446.16
T00147,11,Male,UK,Hurghada,5,Autumn,Wings Tours Egypt,829.46
T00148,5,Male,UK,Aswan,3,Winter,Deluxe Tours Egypt,622.85
T00149,11,Male,Canada,Luxor,5,Summer,Pioneer Travel Egypt,519.48
T00150,10,Female,Germany,Luxor,3,Spring,Key Egypt Travel,724.73
T00151,5,Male,Canada,Cairo,9,Autumn,United Travel Egypt,888.45
T00152,8,Male,UK,Luxor,6,Autumn,Lady Egypt Tours,1334.64
T00153,13,Female,Spain,Aswan,6,Spring,Jasmine Travel Egypt,1071.64
T00154,15,Female,Spain,Hurghada,2,Winter,Grand Tours Egypt,415.85
T00155,6,Male,France,Alexandria,7,Autumn,White Desert Tours,781.52
T00156,14,Female,Australia,Cairo,6,Summer,Imperial Egypt,1181.34
T00157,12,Female,Norway,Cairo,8,Autumn,Echo Egypt Travel,1385.19
T00158,17,Male,Denmark,Alexandria,7,Winter,Falcon Travel Egypt,655.5
T00159,13,Female,USA,Hurghada,9,Summer,Falcon Travel Egypt,2024.72
T00160,11,Male,Australia,Alexandria,5,Spring,Crystal Travel Egypt,586.6
T00161,7,Female,Canada,Aswan,3,Spring,Globe Travel Egypt,745.95
T00162,15,Male,Netherlands,Cairo,3,Autumn,Mirage Travel Egypt,438.6
T00163,16,Male,Norway,Hurghada,10,Autumn,Sunrise Travel Egypt,2292.97
T00164,11,Female,Sweden,Luxor,3,Spring,On The Go Tours Egypt,467.48
T00165,16,Male,UK,Luxor,3,Spring,Travel World Egypt,314.51
T00166,12,Male,France,Luxor,7,Summer,Pharaohs Tours,909.43
T00167,7,Male,USA,Sharm El Sheikh,2,Autumn,MISR Travel,380.59
T00168,16,Female,Canada,Aswan,2,Winter,Egypt Tailor Made Tours,524.47
T00169,18,Male,Spain,Aswan,2,Summer,Victory Travel Egypt,514.08
T00170,16,Female,Spain,Hurghada,6,Spring,Pharaohs Tours,1298.4
T00171,12,Male,Italy,Sharm El Sheikh,6,Winter,Vision Travel Egypt,1660.63
T00172,18,Male,Denmark,Aswan,8,Spring,Travel World Egypt,1406.62
T00173,11,Female,Italy,Aswan,8,Autumn,Spring Tours,2260.79
T00174,17,Male,Italy,Aswan,5,Winter,Karnak Tours,986.04
T00175,10,Male,Italy,Aswan,2,Autumn,Memphis Tours,547.95
T00176,18,Female,Sweden,Cairo,2,Autumn,Globe Travel Egypt,258.43
T00177,11,Male,Canada,Luxor,5,Summer,Red Sea Travel Egypt,1085.1
T00178,11,Male,Canada,Alexandria,9,Spring,Moon Travel Egypt,958.32
T00179,7,Female,Netherlands,Cairo,9,Autumn,Royal Vacation Egypt,730.77
T00180,14,Male,Norway,Hurghada,2,Winter,Great Pyramid Travel,307.42
T00181,17,Male,Sweden,Luxor,7,Autumn,Travel Choice Egypt,1273.62
T00182,5,Female,Sweden,Aswan,6,Summer,Smart Travel Egypt,1564.56
T00183,15,Male,UK,Sharm El Sheikh,7,Spring,Silver Travel Egypt,1737.29
T00184,9,Female,Germany,Alexandria,7,Autumn,Elite Egypt Tours,1217.96
T00185,17,Male,Spain,Aswan,6,Spring,Queen Egypt Tours,1062.31
T00186,17,Female,France,Hurghada,8,Winter,Safari Travel Egypt,2514.14
T00187,13,Female,Italy,Luxor,10,Autumn,Insight Vacations Egypt,1902.04
T00188,9,Male,USA,Alexandria,8,Winter,International Travel Egypt,876.82
T00189,12,Female,Germany,Hurghada,9,Autumn,MISR Travel,1677.34
T00190,7,Male,Canada,Luxor,5,Spring,Express Travel Egypt,844.31
T00191,13,Female,Canada,Sharm El Sheikh,4,Spring,Professional Travel Egypt,1109.79
T00192,17,Female,Norway,Sharm El Sheikh,10,Autumn,Travel Line Egypt,1720.8
T00193,14,Female,France,Luxor,6,Autumn,Globe Travel Egypt,1466.94
T00194,14,Male,Sweden,Aswan,5,Autumn,Heliopolis Travel,716.98
T00195,18,Female,Norway,Hurghada,9,Winter,Express Travel Egypt,2350.95
T00196,7,Male,Denmark,Aswan,5,Winter,Dynasty Travel Egypt,1470.26
T00197,15,Female,Norway,Hurghada,2,Winter,Crystal Travel Egypt,386.01
T00198,5,Male,Netherlands,Alexandria,6,Spring,Pyramids Land Tours,732.33
T00199,13,Male,Canada,Aswan,8,Summer,Silver Travel Egypt,1644.8
T00200,6,Female,Netherlands,Hurghada,8,Summer,Lotus Travel Egypt,2031.65
T00201,15,Female,Denmark,Cairo,4,Summer,Dynasty Travel Egypt,495.46
T00202,11,Male,France,Hurghada,3,Summer,Journey Egypt,628.98
T00203,7,Female,UK,Alexandria,5,Summer,On The Go Tours Egypt,823.88
T00204,14,Male,Norway,Cairo,6,Winter,Lotus Tours Egypt,689.54
T00205,5,Male,France,Alexandria,9,Winter,Key Egypt Travel,1321.77
T00206,7,Female,France,Aswan,3,Autumn,Travel World Egypt,673.92
T00207,12,Female,UK,Cairo,10,Summer,Heliopolis Travel,1560.56
T00208,5,Female,USA,Aswan,10,Winter,Journey Egypt,1651.32
T00209,6,Female,UK,Cairo,4,Spring,Future Travel Egypt,648.93
T00210,8,Male,Spain,Cairo,7,Summer,Explore Egypt Tours,682.81
T00211,11,Female,Spain,Aswan,3,Winter,Luxor and Aswan Travel,709.04
T00212,18,Female,Canada,Hurghada,8,Autumn,Insight Vacations Egypt,1774.07
T00213,5,Male,Denmark,Sharm El Sheikh,6,Summer,Prime Travel Egypt,1677.85
T00214,5,Male,Netherlands,Aswan,7,Summer,Falcon Travel Egypt,1003.44
T00215,7,Male,USA,Luxor,10,Winter,Travel Line Egypt,1961.44
T00216,9,Male,Denmark,Cairo,7,Spring,Luxor and Aswan Travel,858.57
T00217,9,Male,Sweden,Aswan,5,Spring,Travel Services Egypt,1164.12
T00218,5,Female,Sweden,Hurghada,5,Autumn,Continental Tours Egypt,812.67
T00219,18,Female,Denmark,Cairo,2,Spring,Scandia Tours Egypt,163.02
T00220,15,Female,Sweden,Cairo,6,Summer,Adventure Egypt Tours,1129.58
T00221,18,Male,Netherlands,Aswan,3,Spring,Travel Point Egypt,790.48
T00222,10,Female,Spain,Luxor,2,Autumn,Nile Travel Egypt,467.91
T00223,15,Female,Denmark,Aswan,4,Autumn,Legend Travel Egypt,571.02
T00224,10,Female,Australia,Aswan,10,Winter,Smart Travel Egypt,2518.51
T00225,13,Male,UK,Cairo,7,Winter,Professional Travel Egypt,795.52
T00226,15,Male,Sweden,Cairo,7,Winter,Star Travel Egypt,654.76
T00227,7,Male,France,Cairo,5,Autumn,World Travel Egypt,526.86
T00228,9,Male,Norway,Hurghada,6,Autumn,Prime Travel Egypt,1027.72
T00229,9,Female,UK,Alexandria,4,Winter,Oasis Travel Egypt,649.47
T00230,18,Male,UK,Luxor,2,Spring,Insight Vacations Egypt,329.52
T00231,7,Male,Spain,Aswan,3,Autumn,Blue Sky Travel Egypt,778.12
T00232,5,Male,Germany,Cairo,6,Winter,Best Egypt Tours,675.64
T00233,12,Male,USA,Cairo,10,Autumn,Spring Tours,1208.23
T00234,17,Male,UK,Hurghada,8,Autumn,Nefertiti Travel,2189.74
T00235,7,Female,Netherlands,Aswan,5,Summer,Golden Travel Egypt,778.25
T00236,13,Male,Norway,Sharm El Sheikh,6,Summer,Pharaohs Tours,1251.71
T00237,11,Male,Spain,Aswan,7,Summer,Elite Egypt Tours,1009.39
T00238,7,Female,Canada,Hurghada,4,Spring,Global Travel Egypt,704.63
T00239,13,Male,Denmark,Hurghada,2,Summer,Egypt Holiday Makers,375.02
T00240,6,Male,USA,Sharm El Sheikh,9,Spring,Best Egypt Tours,2245.18
T00241,10,Female,Spain,Aswan,8,Autumn,Emo Tours Egypt,1893.07
T00242,6,Male,Canada,Alexandria,5,Winter,Travel Experts Egypt,824.34
T00243,9,Female,Denmark,Cairo,5,Summer,Luxor and Aswan Travel,587.9
T00244,14,Female,Australia,Cairo,2,Autumn,Golden Travel Egypt,288.6
T00245,9,Male,UK,Hurghada,9,Autumn,Continental Tours Egypt,2465.89
T00246,18,Male,Spain,Cairo,5,Winter,Prestige Travel Egypt,734.16
T00247,18,Male,Denmark,Sharm El Sheikh,4,Summer,Jasmine Travel Egypt,1091.98
T00248,5,Female,Netherlands,Alexandria,8,Winter,Star Travel Egypt,867.1
T00249,14,Female,UK,Alexandria,5,Winter,Superior Travel Egypt,644.94
T00250,12,Female,Norway,Sharm El Sheikh,7,Spring,Journey Egypt,2414.45
T00251,13,Female,France,Alexandria,2,Spring,Superior Travel Egypt,341.51
T00252,13,Male,Sweden,Cairo,3,Autumn,Golden Egypt Tours,321.52
T00253,14,Male,Denmark,Alexandria,3,Autumn,Nile Blue Tours,294.65
T00254,14,Female,Canada,Luxor,3,Spring,Moon Travel Egypt,585.18
T00255,5,Female,UK,Hurghada,6,Winter,Pioneer Travel Egypt,1741.56
T00256,18,Male,Netherlands,Sharm El Sheikh,4,Winter,Moon Travel Egypt,745.85
T00257,16,Male,Italy,Alexandria,7,Spring,Pyramids Land Tours,1170.02
T00258,13,Male,USA,Sharm El Sheikh,8,Spring,Karnak Tours,1566.4
T00259,15,Male,France,Alexandria,8,Summer,Egypt Holiday Makers,1227.16
T00260,10,Male,Sweden,Alexandria,9,Spring,Victory Travel Egypt,1205.37
T00261,16,Female,USA,Cairo,6,Autumn,MISR Travel,548.4
T00262,6,Female,France,Sharm El Sheikh,6,Summer,Lady Egypt Tours,1297.96
T00263,5,Male,Denmark,Cairo,2,Spring,Infinity Travel Egypt,305.96
T00264,9,Female,Sweden,Sharm El Sheikh,4,Spring,Galaxy Travel Egypt,1321.54
T00265,12,Female,Italy,Alexandria,2,Spring,Egypt Tours Portal,327.3
T00266,17,Male,Denmark,Alexandria,6,Summer,Best Egypt Tours,760.84
T00267,18,Male,Australia,Alexandria,6,Summer,International Travel Egypt,951.24
T00268,12,Male,USA,Hurghada,5,Winter,Star Travel Egypt,1006.75
T00269,16,Female,Spain,Hurghada,3,Autumn,Sunrise Travel Egypt,903.17
T00270,13,Male,France,Sharm El Sheikh,9,Autumn,Egypt Time Travel,2265.54
T00271,13,Male,Canada,Alexandria,6,Autumn,Travel Masters Egypt,765.55
T00272,6,Male,Sweden,Hurghada,6,Winter,United Travel Egypt,1303.26
T00273,13,Female,USA,Luxor,8,Autumn,Regency Travel Egypt,1265.57
T00274,13,Female,UK,Sharm El Sheikh,2,Summer,Memphis Tours,537.25
T00275,16,Male,UK,Luxor,2,Winter,Embrace Egypt,475.7
T00276,5,Male,Norway,Alexandria,6,Spring,Victory Travel Egypt,872.28
T00277,6,Male,Australia,Alexandria,10,Winter,Victory Travel Egypt,1394.92
T00278,9,Male,Netherlands,Hurghada,10,Summer,Moon Travel Egypt,1813.23
T00279,11,Female,Canada,Sharm El Sheikh,6,Autumn,Egypt Holiday Makers,2013.52
T00280,16,Female,France,Hurghada,2,Spring,Majestic Travel Egypt,397.56
T00281,17,Male,Spain,Cairo,10,Autumn,Grand Tours Egypt,1652.88
T00282,9,Female,Spain,Luxor,8,Winter,Nefertiti Travel,1217.99
T00283,9,Female,Sweden,Aswan,2,Autumn,Travco Travel,543.18
T00284,8,Female,Australia,Alexandria,6,Autumn,Travel House Egypt,541.77
T00285,16,Female,Spain,Sharm El Sheikh,10,Winter,Travel Point Egypt,2112.61
T00286,12,Male,USA,Hurghada,4,Summer,Luxor and Aswan Travel,1269.46
T00287,14,Female,Canada,Aswan,2,Autumn,Lady Egypt Tours,572.56
T00288,15,Female,Spain,Aswan,4,Summer,Travco Travel,987.73
T00289,15,Male,Sweden,Luxor,5,Spring,Sharm Club,589.51
T00290,8,Male,Australia,Aswan,5,Autumn,Crystal Travel Egypt,661.16
T00291,6,Male,France,Cairo,7,Summer,Dynasty Travel Egypt,1030.06
T00292,13,Female,Australia,Alexandria,4,Spring,World Travel Egypt,599.78
T00293,14,Female,Italy,Hurghada,5,Winter,Express Travel Egypt,1334.65
T00294,7,Female,Sweden,Sharm El Sheikh,9,Autumn,Smart Travel Egypt,1955.52
T00295,13,Male,France,Aswan,2,Summer,Infinity Travel Egypt,441.37
T00296,9,Male,Italy,Hurghada,3,Autumn,Royal Travel Egypt,878.97
T00297,15,Female,UK,Cairo,6,Summer,Explore Egypt Tours,528.43
T00298,18,Male,Spain,Cairo,6,Spring,Isis Travel,908.15
T00299,14,Female,Norway,Aswan,6,Winter,Heliopolis Travel,743.54
T00300,5,Male,Canada,Sharm El Sheikh,9,Winter,Regency Travel Egypt,1763.53
T00301,11,Female,Sweden,Sharm El Sheikh,7,Spring,Zenith Travel Egypt,1148.29
T00302,6,Female,Denmark,Cairo,9,Summer,Lotus Tours Egypt,1412.98
T00303,11,Female,Australia,Aswan,6,Spring,Travel Masters Egypt,1518.45
T00304,9,Male,UK,Sharm El Sheikh,5,Spring,Orient Travel Egypt,899.31
T00305,18,Female,Canada,Luxor,5,Summer,Pharaohs Tours,1177.11
T00306,14,Male,UK,Hurghada,9,Winter,Nile Blue Tours,2499.95
T00307,10,Male,Netherlands,Aswan,5,Summer,Platinum Travel Egypt,1394.7
T00308,9,Female,Netherlands,Luxor,2,Autumn,Nile Blue Tours,484.05
T00309,18,Male,USA,Sharm El Sheikh,7,Autumn,Sharm Club,2419.25
T00310,8,Male,Denmark,Aswan,3,Autumn,Egypt Direct Tours,646.49
T00311,7,Female,Canada,Aswan,9,Spring,Platinum Travel Egypt,2017.12
T00312,7,Male,Sweden,Luxor,8,Winter,Blue Sky Travel Egypt,1145.61
T00313,9,Male,Australia,Cairo,2,Spring,Royal Vacation Egypt,307.01
T00314,12,Female,UK,Alexandria,8,Summer,Majestic Travel Egypt,881.64
T00315,18,Female,France,Cairo,7,Autumn,Wings Tours Egypt,917.41
T00316,14,Female,Australia,Luxor,8,Winter,Mirage Travel Egypt,809.04
T00317,9,Female,Norway,Cairo,9,Winter,Imperial Egypt,1039.09
T00318,16,Male,USA,Luxor,5,Winter,Elite Egypt Tours,908.88
T00319,11,Female,Denmark,Hurghada,6,Spring,Imperial Egypt,1563.74
T00320,15,Female,Canada,Cairo,4,Spring,Deluxe Tours Egypt,706.57
T00321,17,Male,Canada,Sharm El Sheikh,8,Summer,Safari Travel Egypt,1611.28
T00322,11,Male,Sweden,Aswan,9,Winter,Premier Travel Egypt,2470.29
T00323,6,Female,France,Hurghada,5,Summer,Travel World Egypt,958.92
T00324,18,Female,France,Alexandria,10,Winter,Great Pyramid Travel,1757.41
T00325,5,Female,Italy,Sharm El Sheikh,2,Summer,Future Travel Egypt,580.27
T00326,18,Male,Italy,Luxor,4,Summer,Red Sea Travel Egypt,986.31
T00327,16,Male,USA,Aswan,10,Autumn,Ultimate Travel Egypt,2942.03
T00328,16,Male,Canada,Luxor,10,Summer,Egypt Tours Portal,2087.62
T00329,12,Male,Denmark,Sharm El Sheikh,9,Winter,Global Travel Egypt,2647.37
T00330,15,Female,Netherlands,Hurghada,4,Autumn,Top Travel Egypt,1077.34
T00331,8,Female,Italy,Cairo,8,Spring,Abercrombie & Kent Egypt,859.12
T00332,16,Male,UK,Aswan,4,Spring,Premier Travel Egypt,1147.25
T00333,16,Male,UK,Luxor,8,Winter,Embrace Egypt,1307.16
T00334,6,Female,France,Hurghada,2,Spring,Magic Carpet Travel,541.33
T00335,12,Female,Norway,Aswan,8,Spring,Smart Travel Egypt,1293.34
T00336,18,Male,Australia,Luxor,6,Autumn,Memphis Tours,864.98
T00337,5,Male,France,Aswan,5,Winter,Top Travel Egypt,786.52
T00338,16,Female,Spain,Sharm El Sheikh,6,Spring,Classic Tours Egypt,1306.69
T00339,10,Male,Spain,Luxor,4,Autumn,Sakkara Travel,545.59
T00340,12,Male,Norway,Hurghada,7,Summer,Travel Experts Egypt,1584.53
T00341,13,Female,Netherlands,Sharm El Sheikh,5,Spring,Travel World Egypt,1098.7
T00342,8,Male,Norway,Alexandria,8,Autumn,Plan Egypt Tours,1012.37
